currency,1d_market_cap_change_pct,1d_price_change_pct,1d_volume_change_pct,30d_market_cap_change_pct,30d_price_change_pct,30d_volume_change_pct,365d_market_cap_change_pct,365d_price_change_pct,365d_volume_change_pct,ytd_market_cap_change_pct,ytd_price_change_pct,ytd_volume_change_pct,max_supply,num_exchanges,num_pairs
ZEC,-0.0849,-0.0852,0.3423,0.2469,0.2356,0.5557,2.0364,1.7163,1.6276,2.7645,2.4309,1.5062,21000000,170,512
MKR,-0.0734,-0.0734,0.0825,-0.1127,-0.1127,-0.0423,4.0232,4.0555,9.9612,2.9616,2.9719,8.1648,989564,152,724
BSV,-0.0759,-0.0759,-0.0058,-0.2073,-0.2084,-0.5350,-0.2255,-0.2389,-0.3630,-0.1909,-0.2038,-0.3134,21000000,136,663
ENJ,-0.1096,-0.1096,0.3126,-0.0162,-0.0162,0.6977,18.5879,18.3529,34.4310,21.2064,20.9399,34.1810,1000000000,133,333
XEC,-,-0.1119,0.5787,-,-0.3438,-0.3035,-,5.8581,-,-,5.8581,-,-,34,57
RUNE,-0.0910,-0.0910,0.6499,-0.3422,-0.3422,-0.3090,11.9170,8.5107,35.4920,7.5320,5.3096,26.4345,500000000,29,65
NEO,-0.1085,-0.1085,0.5254,-0.2950,-0.2950,-0.1970,0.8324,0.8324,0.7903,1.0560,1.0560,0.8586,100000000,128,438
AMP,-0.0773,-0.0773,0.1179,-0.1503,-0.1503,2848.4998,1.0292,1.0292,14.0644,1.0292,1.0292,58.4673,622410798,7,19
WAVES,0.0126,0.0126,-0.0183,-0.1891,-0.1891,-0.2457,1.5015,1.5015,3.6569,2.8077,2.8077,3.5702,100000000,82,1547
QNT,-0.0733,-0.0733,-0.1720,-0.2959,-0.2973,0.0368,15.9173,14.5998,9.9354,17.6456,16.1935,9.2404,14612493,48,102
CHZ,-0.1016,-0.1016,0.4469,-0.1458,-0.1458,0.0525,28.5679,28.5679,122.0250,18.1571,18.1571,70.2576,8888888888,97,259
KDA,-0.1626,-0.1629,0.7762,0.4630,0.4261,4.7265,235.9631,73.1845,29.7657,273.2824,101.0315,27.0342,1000000000,9,15
KCS,-0.0844,-0.0844,0.0626,0.2482,0.2523,1.6324,26.1131,27.1844,3.0835,30.6020,31.8506,3.4759,167073331,15,62
HOT,-0.0619,-0.0619,0.1756,-0.2768,-0.2768,-0.1079,17.1589,17.1589,29.2370,13.2618,13.2618,29.8716,177619433541,84,241
CRV,-0.0929,-0.0940,0.3039,0.0448,-0.0020,0.0125,17.4509,4.9146,13.2371,14.2510,5.1645,11.1446,1643233834,112,396
BAT,-0.1320,-0.1321,0.0405,0.2272,0.2263,0.9617,4.0882,4.0520,2.4383,4.5809,4.5430,2.4018,1500000000,204,683
AR,-0.0617,-0.0617,0.1416,-0.3883,-0.3883,0.1060,25.5365,22.2092,8.7231,22.3238,19.3993,8.2518,64598643,27,47
DASH,-0.0803,-0.0804,0.4423,-0.1815,-0.1854,-0.0369,0.6866,0.5876,0.9611,0.9220,0.8183,0.9696,18920000,197,878
CELO,-0.0908,-0.0908,0.1454,-0.2294,-0.2746,-0.3212,5.1766,1.6302,30.1953,6.0588,2.1749,27.1523,1000000000,31,94
TFUEL,-,-0.0093,2.9162,-,-0.1978,-0.1501,-,23.8475,15.7058,-,8.2161,9.8474,5301200000,21,34
COMP,-0.0873,-0.0874,0.3799,-0.3215,-0.3286,-0.3764,1.7976,0.7948,5.3024,1.5279,0.6795,3.8537,10000000,144,709
OKB,-0.1119,-0.1119,0.4483,0.1238,0.1238,0.0098,3.7920,3.9065,1.6083,2.2375,2.3149,1.4499,300000000,50,212
HT,-0.0669,-0.0669,0.1770,-0.1623,-0.1491,-0.3346,0.5561,1.2795,1.6271,0.2498,0.8308,1.6808,500000000,76,490
NEXO,-0.0599,-0.0599,0.6285,-0.1959,-0.1959,-0.1386,5.3159,5.3159,0.2789,3.0814,3.0814,0.1481,1000000000,45,99
DCR,-0.0349,-0.0351,-0.1232,-0.0383,-0.0447,-0.1676,3.1221,2.7480,-0.4679,1.3381,1.1446,-0.4395,21000000,52,119
XEM,-0.0924,-0.0924,0.4200,-0.2401,-0.2401,0.1463,-0.3886,-0.3886,6.8444,-0.2760,-0.2760,4.7824,8999999999,87,207
IOTX,-0.1323,-0.1323,-0.3533,-0.2927,-0.2926,1.7437,32.5376,19.2632,26.7366,36.0348,21.3762,25.0206,9496266827,38,87
QTUM,-0.1211,-0.1211,0.0863,-0.1901,-0.1907,-0.1341,3.9107,3.8643,1.3945,4.2925,4.2463,1.3788,107822406,111,328
MINA,-0.0711,-0.0735,0.3440,0.0244,-0.0668,1.1892,-,14.9823,-,-,14.9823,-,875197613,26,40
TUSD,-0.0308,-0.0004,0.0723,0.0273,-0.0002,0.5665,2.7420,0.0018,-0.8102,3.4188,0.0082,-0.7839,1235657188,121,788
1INCH,-0.1188,-0.1188,0.0062,-0.2962,-0.3302,-0.3330,-,2.0276,-,51.0559,1.7397,35.6320,1500000000,95,295
VGX,-,-0.1177,-0.0354,-,0.6885,0.9354,-,0.1644,-,-,0.1644,-,-,3,5
IMX,-,-,-,-,-,-,-,-,-,-,-,-,110000000,2,3
ZEN,-0.1045,-0.1048,0.3542,0.0625,0.0529,0.4640,7.1561,6.2575,28.1413,6.3942,5.6411,21.9272,21000000,54,124
AUDIO,-0.0845,-0.0845,-0.0009,-0.2053,-0.2144,0.5707,93.3735,12.1714,114.2579,41.8301,11.8814,67.1467,1063703294,43,92
RVN,-0.0443,-0.0449,2.0332,-0.2828,-0.2979,-0.2729,8.3246,5.9428,8.8092,8.5177,6.2720,9.1011,21000000000,67,217
XDC,-,-,-,-,-,-,-,9.0252,-0.9982,-,112.0607,-0.9756,100000000,1,1
ROSE,-0.1662,-0.1662,0.2775,2.4689,0.4909,2.7085,15.1139,6.0138,70.0540,15.8386,6.2449,23.1668,10000000000,24,41
OMG,-0.0912,-0.0912,0.7102,-0.6120,-0.6120,0.3077,0.9853,0.9853,2.9040,1.4560,1.4560,2.7444,140245398,191,513
ANKR,-0.1277,-0.1277,0.0814,0.0097,0.0097,0.3629,17.0644,13.0073,8.0611,17.0856,13.3929,7.0524,10000000000,70,143
ICX,-0.1455,-0.1456,0.0627,-0.3086,-0.3128,0.2073,3.2245,2.5882,3.1350,2.5792,2.0621,2.9109,800460000,57,131
WAXP,-0.1319,-0.1319,0.2253,0.1198,0.1198,1.6415,13.8759,12.5264,20.6251,14.3527,13.4637,20.0468,3723327469,29,66
